title,price,link
1978 Yaght s2 11,"$2,500",https://web.facebook.com/marketplace/item/1124444982277936/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Liberty Safe,"$1,300",https://web.facebook.com/marketplace/item/610254371703633/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
1992 Honda prelude si,"$4,500",https://web.facebook.com/marketplace/item/1769613737220456/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Like new beautiful hutch,$300,https://web.facebook.com/marketplace/item/1615529835751099/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Studio 1 Bath - Apartment,"$1,750",https://web.facebook.com/marketplace/item/1537713610268915/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
"Backhoe Skid steer attachment Mustang MBH9H - $3,400","$3,400",https://web.facebook.com/marketplace/item/503111222807163/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
1983 Ford hscr,"$5,000",https://web.facebook.com/marketplace/item/1483336782622875/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Dirt Bike,$100,https://web.facebook.com/marketplace/item/1116082609999857/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
2008 Harley-Davidson sportster nightster,"$4,000",https://web.facebook.com/marketplace/item/937457921904006/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Follow,,https://www.facebook.com/people/Mikhal-Mike/pfbid02MrMQPWMPETu3s52adYxvPBfTEdXNA5rTTUfkNNMekumwWdie4CQ91Q5mEBSEKChTl/
All Star,"ETB4,500",https://web.facebook.com/marketplace/item/2031248643969424/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Nike Air Jordan 1,"ETB6,500",https://web.facebook.com/marketplace/item/1281605623071184/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
mustang wheels,$400,https://web.facebook.com/marketplace/item/1892999661108539/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
2013 Honda pcx,"$1,200",https://web.facebook.com/marketplace/item/989697303022152/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Beautiful Burl Wood Clock,$25,https://web.facebook.com/marketplace/item/1387500235954761/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
2012 Ford f250 super duty regular cab XLT Pickup 2D 8 ft,"$25,000",https://web.facebook.com/marketplace/item/566727119662112/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Bunk Bed Frame,$20,https://web.facebook.com/marketplace/item/1323949018646520/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Lucky eggs vending machine,$300,https://web.facebook.com/marketplace/item/3635305410095184/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Dutch oven cast iron,$10,https://web.facebook.com/marketplace/item/404410372734118/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
2020 KX 85,"$3,200",https://web.facebook.com/marketplace/item/593330459959904/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
