title,price,link,highlight
"Sintech PCIe nVME,M.2NGFF SSD to PCI-e 3.0 X4 Adapter Card with Heatsink,Compatible ...","ETB 2063
2268

",https://www.ubuy.et/en/product/22Y2T3IM-sintech-pcie-nvme-m-2-ngff-ssd-to-pci-e-3-0-x4-adapter-card-with-heatsink-compatible-for-samsung-960,new
"Anker USB C to USB C Cable, Type C 60W Fast Charging Cable 3.3FT, 2Pack for iPhone ...","ETB 2063
2649

",https://www.ubuy.et/en/product/1GYFXN6W8-usb-c-cable-anker-2-pack-new-nylon-usb-c-to-usb-c-cable-3-3ft-60w-pd-type-c-charging-cable-for-macbook-pro-2020-ipad-pro-galaxy-s20-switch,new
"ASCENY Coiled & Double-Sleeved Mechanical Keyboard Cable, for Type-C Mechanical ...","ETB 2063
",https://www.ubuy.et/en/product/403MWXVRE-asceny-coiled-double-sleeved-mechanical-keyboard-cable-for-type-c-mechanical-keyboards-red,new
"Elite Screens 150 Inch Projector Screen Diag169, Active 3D 4K Ultra HD ISF Material ...","ETB 102348
",https://www.ubuy.et/en/product/RTE8OE6-elite-screens-sable-frame-2-series-150-inch-diagonal-16-9-active-3d-4k-ultra-hd-ready-fixed-frame-ho?ref=list-sc,new
2 Cable Micro USB Type C 2-in-1-Charger Fit for Anker-Soundcore Mini Flare 1 2 3 ...,"ETB 2209
",https://www.ubuy.et/en/product/3VK73HF6Y-2-cable-micro-usb-type-c-2-in-1-charger-fit-for-anker-soundcore-mini-flare-1-2-3-life-p2-q30-a1-liberty-air-pro-bluetooth-headphones-earbuds-speaker,new
JINTU 500-1000mm f/8 Manual Telephoto Lens + T-Mount for Canon EOS Rebel SL2 SL1 T3 ...,"ETB 14507
",https://www.ubuy.et/en/product/1HYX9AFKK-jintu-500mm1000mm-f8-telephoto-lens-manual-camera-lens-for-dslr-canon-eos-2000d-4000d-90d-80d-70d-60d-50d-40d-650d-600d-750d-700d-550d-450d-7d-ii-6d,new
SNAP Mounts Magnetic Action Camera Chest Mount for GoPro Compatible with GoPro ...,"ETB 6455
",https://www.ubuy.et/en/product/7KEPDQWU-snap-mount-magnetic-action-camera-mount-for-gopro-compatible-with-gopro-hero-gopro-max-dji-osmo-acti,new
YAXI EARPADS for Koss PORTAPRO Blue,"ETB 2357
",https://www.ubuy.et/en/product/6MROAKGM-yaxi-earpads-for-koss-portapro-blue,new
NVX XBRC Universal Bass Remote Control - Car Amplifier/Amp Bass/Input,"ETB 1917
",https://www.ubuy.et/en/product/7IM6A742-nvx-universal-bass-remote-control-car-amplifier-amp-bass-input-xbrc,new
WD Purple 2TB Surveillance Hard Disk Drive - 5400 RPM Class SATA 6 Gb/s 64MB Cache ...,"ETB 11141
",https://www.ubuy.et/en/product/3277TA7K-wd-purple-2tb-surveillance-hard-disk-drive-5400-rpm-class-sata-6-gb-s-64mb-cache-3-5-inch-wd20purx-o,new
MOSISO Keyboard Cover Skin Compatible with MacBook Air 15 M3 A3114 M2 A2941/Air ...,"ETB 1770
",https://www.ubuy.et/en/product/46OO8LGYY-mosiso-keyboard-cover-compatible-with-macbook-pro-14-inch-2021-m1-pro-m1-max-a2442-compatible-with-macbook-pro-16-inch-2021-m1-pro-m1-max,new
3 Pack DC Power Extension Cable 20ft 2.1mm x 5.5mm Compatible with 12V DC Adapter ...,"ETB 3233
",https://www.ubuy.et/en/product/JP93Y6OQ-3-pack-dc-power-extension-cable-20ft-2-1mm-x-5-5mm-compatible-with-12v-dc-adapter-cord-for-cctv-ip-c,new
Dolphin.dylTM Replacement Individual Key Cap for US MacBook Pro A1706 A1707 A1708 ...,"ETB 2356
",https://www.ubuy.et/en/product/1PUUUN282-dolphin-dyl-tm-replacement-individual-key-cap-for-us-macbook-pro-a1706-a1707-a1708-key-cap-with-hinge-left-command-key,new
inRobert PLD09210S12HH 85mm 4Pin RTX2080 RTX2070 Graphics Card Fan Replacement for ...,"ETB 3511
",https://www.ubuy.et/en/product/3NQKBOF9C-inrobert-pld09210s12hh-85mm-4pin-rtx2080-rtx2070-graphics-card-fan-replacement-for-msi-rtx-2060-2070-2080-super-ventus-gpu-fan-b,new
"Vansuny USB 3.1 Flash Drive 128GB, 400MB/s Super Speed Flash Drive, USB 3.1 Gen 2 ...","ETB 3381
3820

",https://www.ubuy.et/en/product/11U9OPM8-vansuny-usb-flash-drive-128gb-usb-3-1-flash-drive-400mb-s-super-speed-solid-state-usb-drive-thumb-dr,new
MoKo Case Fit 2018/2017 iPad 9.7 6th/5th Generation - Slim Lightweight Smart Shell ...,"ETB 2350
",https://www.ubuy.et/en/product/2B3N04ZG-moko-case-fit-2018-2017-ipad-9-7-6th-5th-generation-slim-lightweight-smart-shell-stand-cover-with-tr,new
