title,price,description,highlight
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2625,ETB793.00Ex Tax: ETB689.00,Feya Men's  Soft Genuine Leather Comfortable Shoe100% Real LeatherRubber SoleSize-39-43Color-Li..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2887,ETB699.00Ex Tax: ETB608.00,"Fiya_
Men's Genuine Leather Shoe  ·        ..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3469,ETB308.00Ex Tax: ETB268.00,Fikadu men's genuine leather sandal shoeHandmade100% genuine LatherLight syntactic solePerfect for a..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4328,ETB566.00Ex Tax: ETB493.00,Stylish genuine leather men’s flat shoes.-Hand made-Stylish and casual-Genuine leather-We..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5411,ETB971.00Ex Tax: ETB845.00,"100% Pure LeatherHand made   Men's Open Shoes are made of pure skin have embroidery, and
..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2470,ETB854.00Ex Tax: ETB743.00,"Getnet
_Genuine leather Men's Short BootsSmooth leather lining Comfortable
Design.Rubber
Sol..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5402,ETB833.00Ex Tax: ETB724.00,"Genuine Leather Open Men’s Shoes  Made out of 100% genuine and sustainable
leather. &nbs..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5418,ETB833.00Ex Tax: ETB724.00,"Hand Made Men's open shoes made of
pure Leather & canvasThe fact that it has a
finger. Soft an..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2363,ETB694.00Ex Tax: ETB604.00,100% Leather Rubber soleCLASSIC FLIP FLOPS: Reef's Leather Smoothly flip flops are handcrafted ..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=1983,ETB920.00Ex Tax: ETB800.00,This men’s Chelsea boot features crisp stitching and stretch-gore panels for easy entry...,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=1975,ETB871.00Ex Tax: ETB758.00,"-      
Classic Light
Gray & Brown Short Boots Men's Shoes ..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=2905,ETB592.00Ex Tax: ETB514.00,"Casual Men's ShoeCan be worn in a
professional environment 



Comfortable for walkingManu..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4776,ETB369.00Ex Tax: ETB321.00,"Hailu ­_ Boy’s Genuine Leather shoes100%Pure LeatherClassic heritage looks, with long-lasting wearIt..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5549,"ETB1,387.00Ex Tax: ETB1,206.00",100%Pure Leather           Rubber Sole The shoes a..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5326,ETB20.00Ex Tax: ETB18.00,"Insoles Pair Shoe InsertsInsoles Pair shoe Inserts for walking, running, and hiking -
full Length f..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3914,"ETB1,040.00Ex Tax: ETB905.00","Mebetu _ Men's  
Leather shoes- Hand made- Rubber Sole- Lace up and Velvet Shoe- 100%Genu..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3908,ETB923.00ETB750.00Ex Tax: ETB803.00,Mebetu_ Men’s Crocodile print Lace Up Shoe          - Rubber sole&nbsp..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3990,ETB923.00Ex Tax: ETB803.00,"Mesfin_
Men’s Pure Leather Lace –up Shoe-Embossed
genuine leather uppers-Mean's
Comfortable Black..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4151,"ETB1,110.00Ex Tax: ETB966.00",Men’s Velvet Short Boots-Lace-up -Velvet upper-Hand Made-Comfort design all season -Flexib..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3977,ETB984.00Ex Tax: ETB856.00,Men's Pure Leather Short Boots ★100% pure leather ★Hand made ★Rubber sole ★Lace ..,existing
