title,price,link,status
Seasonless Sports Shoes,"Br2,150.00",https://babyshopet.com/product/seasonless-sports-shoes/,Existing
Callion Boy Kids Sport Shoes,"Br1,850.00",https://babyshopet.com/product/callion-boy-kids-sport-shoes/,Existing
Phonex Boy Kids Sport Shoes,"Br1,850.00",https://babyshopet.com/product/phonex-boy-kids-sport-shoes/,Existing
Nike Renew Element 55 (GS),"Br6,200.00",https://babyshopet.com/product/chicco-new-born-portable-soft-carry-cot-baby-carrier/,Existing
Nike HypervenomX Phelon III,"Br2,500.00",https://babyshopet.com/product/nike-hypervenomx-phelon-iii/,Existing
NIKE Air MAX Vision,"Br2,650.00",https://babyshopet.com/product/nike-air-max-vision/,Existing
Nike Flex Bijoux Training,"Br2,950.00",https://babyshopet.com/product/nike-flex-bijoux-training/,Existing
Nike Sneaker,"Br2,850.00 Br2,500.00",https://babyshopet.com/product/nike-sneaker/,Existing
